0,1 0,26
3,1 3,6
3,9 3,12
3,15 3,18
3,21 3,26
6,1 6,3
6,6 6,21
6,24 6,26
9,1 9,12
9,15 9,26
12,9 12,18
15,0 15,9
15,11 15,15
15,18 15,27
18,9 18,18
21,1 21,6
21,9 21,12
21,15 21,18
21,21 21,26
24,1 24,26
28,1 28,12
28,15 28,26
0,1 3,1
0,12 3,12
0,15 3,15
0,26 3,26
3,3 6,3
3,6 28,6
3,9 6,9
3,18 6,18
3,21 28,21
3,24 6,24
6,1 9,1
6,12 9,12
6,15 9,15
6,26 9,26
9,9 18,9
9,18 18,18
15,13 18,13
18,12 21,12
18,15 21,15
21,1 28,1
21,9 24,9
21,18 24,18
21,26 28,26
24,12 28,12
24,15 28,15
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
0,11
0,12
0,13
0,14
0,15
0,16
0,17
0,18
0,19
0,20
0,21
0,22
0,23
0,24
0,25
0,26
1,1
1,12
1,15
1,26
2,1
2,12
2,15
2,26
3,1
3,2
3,3
3,4
3,5
3,6
3,9
3,10
3,11
3,12
3,15
3,16
3,17
3,18
3,21
3,22
3,23
3,24
3,25
3,26
4,3
4,6
4,9
4,18
4,21
4,24
5,3
5,6
5,9
5,18
5,21
5,24
6,1
6,2
6,3
6,6
6,7
6,8
6,9
6,10
6,11
6,12
6,15
6,16
6,17
6,18
6,19
6,20
6,21
6,24
6,25
6,26
7,1
7,6
7,12
7,15
7,21
7,26
8,1
8,6
8,12
8,15
8,21
8,26
9,1
9,2
9,3
9,4
9,5
9,6
9,7
9,8
9,9
9,10
9,11
9,12
9,15
9,16
9,17
9,18
9,19
9,20
9,21
9,22
9,23
9,24
9,25
9,26
10,6
10,21
11,6
11,21
12,6
12,21
13,6
13,21
14,6
14,21
15,6
15,21
16,6
16,21
17,6
17,21
18,6
18,21
19,6
19,21
20,6
20,21
21,1
21,2
21,3
21,4
21,5
21,6
21,9
21,10
21,11
21,12
21,15
21,16
21,17
21,18
21,21
21,22
21,23
21,24
21,25
21,26
22,1
22,6
22,9
22,18
22,21
22,26
23,1
23,6
23,9
23,18
23,21
23,26
24,1
24,2
24,3
24,4
24,5
24,6
24,7
24,8
24,9
24,10
24,11
24,12
24,13
24,14
24,15
24,16
24,17
24,18
24,19
24,20
24,21
24,22
24,23
24,24
24,25
24,26
25,1
25,6
25,12
25,15
25,21
25,26
26,1
26,6
26,12
26,15
26,21
26,26
27,1
27,6
27,12
27,15
27,21
27,26
28,1
28,2
28,3
28,4
28,5
28,6
28,7
28,8
28,9
28,10
28,11
28,12
28,15
28,16
28,17
28,18
28,19
28,20
28,21
28,22
28,23
28,24
28,25
28,26
